model,effect,metric,value,n
nam,y,bias2,1.0270973443984985,1600
nam,y,var,0.014667313545942307,1600
nam,fx,mspe,0.033301740884780884,1600
nam,fx,bias2,0.01666061207652092,1600
nam,fx,var,0.016641130670905113,1600
nam,fr,mspe,0.081296406686306,1600
nam,fr,bias2,0.06465527415275574,1600
nam,fr,var,0.016641130670905113,1600
nam,fz,mspe,0.048474401235580444,1600
nam,fz,bias2,0.031874626874923706,1600
nam,fz,var,0.016599779948592186,1600
nam_mlp,y,mspe,1.0182032585144043,1600
nam_mlp,y,bias2,1.0099096298217773,1600
nam_mlp,y,var,0.008293712511658669,1600
nam_mlp,fx,mspe,0.010026284493505955,1600
nam_mlp,fx,bias2,0.002733353292569518,1600
nam_mlp,fx,var,0.007292930968105793,1600
nam_mlp,fr,mspe,0.039645444601774216,1600
nam_mlp,fr,bias2,0.0323525108397007,1600
nam_mlp,fr,var,0.007292930968105793,1600
nam_mlp,fz,mspe,0.00658080680295825,1600
nam_mlp,fz,bias2,0.0033123353496193886,1600
nam_mlp,fz,var,0.0032684719190001488,1600
base,y,mspe,1.0607796907424927,1600
base,y,bias2,1.0544363260269165,1600
base,y,var,0.006343374960124493,1600
base,fx,mspe,0.05306372791528702,1600
base,fx,bias2,0.04825569689273834,1600
base,fx,var,0.004808032885193825,1600
base,fr,mspe,0.12117862701416016,1600
base,fr,bias2,0.11637060344219208,1600
base,fr,var,0.004808032885193825,1600
base,fz,mspe,0.07795459032058716,1600
base,fz,bias2,0.07795459032058716,1600
base,fz,var,0.0,1600
posthoc_web,y,mspe,1.2466790676116943,1600
posthoc_web,y,bias2,1.2405014038085938,1600
posthoc_web,y,var,0.006177653092890978,1600
posthoc_web,fx,mspe,0.043526791036129,1600
posthoc_web,fx,bias2,0.03932453319430351,1600
posthoc_web,fx,var,0.004202255513519049,1600
posthoc_web,fr,mspe,0.022166568785905838,1600
posthoc_web,fr,bias2,0.017964312806725502,1600
posthoc_web,fr,var,0.004202255513519049,1600
posthoc_web,fz,mspe,0.07795459032058716,1600
posthoc_web,fz,bias2,0.07795459032058716,1600
posthoc_web,fz,var,0.0,1600
ssn,y,mspe,1.0417646169662476,1600
ssn,y,bias2,1.0270973443984985,1600
ssn,y,var,0.014667313545942307,1600
ssn,fx,mspe,0.03669750317931175,1600
ssn,fx,bias2,0.026899859309196472,1600
ssn,fx,var,0.00979764387011528,1600
ssn,fr,mspe,0.016047807410359383,1600
ssn,fr,bias2,0.006250164471566677,1600
ssn,fr,var,0.00979764387011528,1600
ssn,fz,mspe,0.007583149708807468,1600
ssn,fz,bias2,0.004532504826784134,1600
ssn,fz,var,0.0030506448820233345,1600
nam_mlp_conc_0.01,y,mspe,1.0146909952163696,1600
nam_mlp_conc_0.01,y,bias2,1.0020793676376343,1600
nam_mlp_conc_0.01,y,var,0.012611787766218185,1600
nam_mlp_conc_0.01,fx,mspe,0.010681122541427612,1600
nam_mlp_conc_0.01,fx,bias2,0.00034878653241321445,1600
nam_mlp_conc_0.01,fx,var,0.010332336649298668,1600
nam_mlp_conc_0.01,fr,mspe,0.02681487612426281,1600
nam_mlp_conc_0.01,fr,bias2,0.016482539474964142,1600
nam_mlp_conc_0.01,fr,var,0.010332336649298668,1600
nam_mlp_conc_0.01,fz,mspe,0.004792405292391777,1600
nam_mlp_conc_0.01,fz,bias2,0.00010677696991479024,1600
nam_mlp_conc_0.01,fz,var,0.004685628227889538,1600
