model,effect,metric,value,n,p
refit_orth,y,var,0.014248848892748356,3200,16
refit_orth,fx,mspe,0.029833199456334114,3200,16
refit_orth,fx,bias2,0.024990420788526535,3200,16
refit_orth,fx,var,0.004842780064791441,3200,16
refit_orth,fr,mspe,0.009479081258177757,3200,16
refit_orth,fr,bias2,0.004636301193386316,3200,16
refit_orth,fr,var,0.004842780064791441,3200,16
refit_orth,fz,mspe,0.031633924692869186,3200,16
refit_orth,fz,bias2,0.02052285149693489,3200,16
refit_orth,fz,var,0.011111069470643997,3200,16
refit,y,mspe,0.9638750553131104,3200,2
refit,y,bias2,0.9586257934570312,3200,2
refit,y,var,0.005249185021966696,3200,2
refit,fx,mspe,0.006956449709832668,3200,2
refit,fx,bias2,0.0021725655533373356,3200,2
refit,fx,var,0.004783884156495333,3200,2
refit,fr,mspe,0.03399088978767395,3200,2
refit,fr,bias2,0.029207006096839905,3200,2
refit,fr,var,0.004783884156495333,3200,2
refit,fz,mspe,0.0035101098474115133,3200,2
refit,fz,bias2,0.00063731474801898,3200,2
refit,fz,var,0.0028727948665618896,3200,2
refit_orth,y,mspe,0.9638739228248596,3200,2
refit_orth,y,bias2,0.9586236476898193,3200,2
refit_orth,y,var,0.005250168964266777,3200,2
refit_orth,fx,mspe,0.02700209431350231,3200,2
refit_orth,fx,bias2,0.023518649861216545,3200,2
refit_orth,fx,var,0.003483443520963192,3200,2
refit_orth,fr,mspe,0.005141592118889093,3200,2
refit_orth,fr,bias2,0.0016581483650952578,3200,2
refit_orth,fr,var,0.003483443520963192,3200,2
refit_orth,fz,mspe,0.02301933243870735,3200,2
refit_orth,fz,bias2,0.02166914939880371,3200,2
refit_orth,fz,var,0.001350182923488319,3200,2
refit,y,mspe,1.0755056142807007,3200,4
refit,y,bias2,1.0696812868118286,3200,4
refit,y,var,0.005824307911098003,3200,4
refit,fx,mspe,0.008337975479662418,3200,4
refit,fx,bias2,0.0036564446054399014,3200,4
refit,fx,var,0.00468153040856123,3200,4
refit,fr,mspe,0.032082945108413696,3200,4
refit,fr,bias2,0.02740141935646534,3200,4
refit,fr,var,0.00468153040856123,3200,4
refit,fz,mspe,0.003671219339594245,3200,4
refit,fz,bias2,0.0005319109186530113,3200,4
refit,fz,var,0.00313930818811059,3200,4
refit_orth,y,mspe,1.0755035877227783,3200,4
refit_orth,y,bias2,1.0696791410446167,3200,4
refit_orth,y,var,0.005824458785355091,3200,4
refit_orth,fx,mspe,0.028278173878788948,3200,4
refit_orth,fx,bias2,0.024783894419670105,3200,4
refit_orth,fx,var,0.0034942810889333487,3200,4
refit_orth,fr,mspe,0.00683432025834918,3200,4
refit_orth,fr,bias2,0.0033400391694158316,3200,4
refit_orth,fr,var,0.0034942810889333487,3200,4
refit_orth,fz,mspe,0.024208851158618927,3200,4
refit_orth,fz,bias2,0.02194466069340706,3200,4
refit_orth,fz,var,0.0022641897667199373,3200,4
refit,y,mspe,1.0425643920898438,3200,8
refit,y,bias2,1.0337437391281128,3200,8
refit,y,var,0.008820640854537487,3200,8
refit,fx,mspe,0.010537049733102322,3200,8
refit,fx,bias2,0.005409047473222017,3200,8
refit,fx,var,0.005128003191202879,3200,8
refit,fr,mspe,0.03290893882513046,3200,8
refit,fr,bias2,0.027780938893556595,3200,8
refit,fr,var,0.005128003191202879,3200,8
refit,fz,mspe,0.007460556458681822,3200,8
refit,fz,bias2,0.00153687025886029,3200,8
refit,fz,var,0.0059236870147287846,3200,8
refit_orth,y,mspe,1.0425645112991333,3200,8
refit_orth,y,bias2,1.0337440967559814,3200,8
refit_orth,y,var,0.00882043782621622,3200,8
refit_orth,fx,mspe,0.029385719448328018,3200,8
refit_orth,fx,bias2,0.025354046374559402,3200,8
refit_orth,fx,var,0.004031674470752478,3200,8
refit_orth,fr,mspe,0.008031249977648258,3200,8
refit_orth,fr,bias2,0.0039995755068957806,3200,8
refit_orth,fr,var,0.004031674470752478,3200,8
refit_orth,fz,mspe,0.025831688195466995,3200,8
refit_orth,fz,bias2,0.020705418661236763,3200,8
refit_orth,fz,var,0.0051262699998915195,3200,8
refit,y,mspe,1.0343459844589233,400,1
refit,y,bias2,1.0086767673492432,400,1
refit,y,var,0.025669312104582787,400,1
refit,fx,mspe,0.027870232239365578,400,1
refit,fx,bias2,0.006028434261679649,400,1
refit,fx,var,0.021841801702976227,400,1
refit,fr,mspe,0.04633046314120293,400,1
refit,fr,bias2,0.0244886614382267,400,1
refit,fr,var,0.021841801702976227,400,1
refit,fz,mspe,0.008570614270865917,400,1
refit,fz,bias2,1.384808638249524e-05,400,1
refit,fz,var,0.008556765504181385,400,1
refit_orth,y,mspe,1.034346580505371,400,1
refit_orth,y,bias2,1.0086807012557983,400,1
refit_orth,y,var,0.025665853172540665,400,1
refit_orth,fx,mspe,0.041626833379268646,400,1
refit_orth,fx,bias2,0.024852626025676727,400,1
refit_orth,fx,var,0.016774209216237068,400,1
refit_orth,fr,mspe,0.022793950513005257,400,1
refit_orth,fr,bias2,0.0060197412967681885,400,1
refit_orth,fr,var,0.016774209216237068,400,1
refit_orth,fz,mspe,0.022313443943858147,400,1
refit_orth,fz,bias2,0.016879480332136154,400,1
refit_orth,fz,var,0.005433964543044567,400,1
refit,y,mspe,1.112594723701477,400,16
refit,y,bias2,0.9923436045646667,400,16
refit,y,var,0.12025117874145508,400,16
refit,fx,mspe,0.0341360867023468,400,16
refit,fx,bias2,0.010929988697171211,400,16
refit,fx,var,0.02320609614253044,400,16
refit,fr,mspe,0.04185735806822777,400,16
refit,fr,bias2,0.018651265650987625,400,16
refit,fr,var,0.02320609614253044,400,16
refit,fz,mspe,0.10952470451593399,400,16
refit,fz,bias2,0.0063758790493011475,400,16
refit,fz,var,0.10314883291721344,400,16
refit_orth,y,mspe,1.1125950813293457,400,16
refit_orth,y,bias2,0.9923436641693115,400,16
refit_orth,y,var,0.12025143951177597,400,16
refit_orth,fx,mspe,0.052154138684272766,400,16
refit_orth,fx,bias2,0.028333377093076706,400,16
refit_orth,fx,var,0.02382076345384121,400,16
refit_orth,fr,mspe,0.03200586140155792,400,16
refit_orth,fr,bias2,0.008185095153748989,400,16
refit_orth,fr,var,0.02382076345384121,400,16
refit_orth,fz,mspe,0.1321805715560913,400,16
refit_orth,fz,bias2,0.023421159014105797,400,16
refit_orth,fz,var,0.10875940322875977,400,16
refit,y,mspe,0.9887102246284485,400,2
refit,y,bias2,0.9603184461593628,400,2
refit,y,var,0.02839171327650547,400,2
refit,fx,mspe,0.028081508353352547,400,2
refit,fx,bias2,0.006533047184348106,400,2
refit,fx,var,0.02154846116900444,400,2
refit,fr,mspe,0.045149821788072586,400,2
refit,fr,bias2,0.023601362481713295,400,2
refit,fr,var,0.02154846116900444,400,2
refit,fz,mspe,0.0163093451410532,400,2
refit,fz,bias2,0.0014018596848472953,400,2
refit,fz,var,0.014907486736774445,400,2
refit_orth,y,mspe,0.9887192249298096,400,2
refit_orth,y,bias2,0.9603004455566406,400,2
refit_orth,y,var,0.028418757021427155,400,2
refit_orth,fx,mspe,0.04449759051203728,400,2
refit_orth,fx,bias2,0.028749549761414528,400,2
refit_orth,fx,var,0.0157480426132679,400,2
refit_orth,fr,mspe,0.021929947659373283,400,2
refit_orth,fr,bias2,0.006181906908750534,400,2
refit_orth,fr,var,0.0157480426132679,400,2
refit_orth,fz,mspe,0.033950075507164,400,2
refit_orth,fz,bias2,0.023122034966945648,400,2
refit_orth,fz,var,0.010828042402863503,400,2
refit,y,mspe,1.1079086065292358,400,4
refit,y,bias2,1.0724139213562012,400,4
refit,y,var,0.03549464792013168,400,4
refit,fx,mspe,0.029359206557273865,400,4
refit,fx,bias2,0.011934585869312286,400,4
refit,fx,var,0.01742462068796158,400,4
refit,fr,mspe,0.04522083327174187,400,4
refit,fr,bias2,0.02779621072113514,400,4
refit,fr,var,0.01742462068796158,400,4
refit,fz,mspe,0.02709205076098442,400,4
refit,fz,bias2,0.0005994534003548324,400,4
