model,effect,metric,value,a,n
refit_orth,y,bias2,1.0447105169296265,0.7,12800
refit_orth,y,var,0.00292263925075531,0.7,12800
refit_orth,fx,mspe,0.042729150503873825,0.7,12800
refit_orth,fx,bias2,0.02872578054666519,0.7,12800
refit_orth,fx,var,0.014003370888531208,0.7,12800
refit_orth,fr,mspe,0.09475531429052353,0.7,12800
refit_orth,fr,bias2,0.0807519406080246,0.7,12800
refit_orth,fr,var,0.014003370888531208,0.7,12800
refit_orth,fz,mspe,0.07032065838575363,0.7,12800
refit_orth,fz,bias2,0.04608532413840294,0.7,12800
refit_orth,fz,var,0.024235334247350693,0.7,12800
base,y,mspe,1.052075982093811,0.7,12800
base,y,bias2,1.050003170967102,0.7,12800
base,y,var,0.002072870032861829,0.7,12800
base,fx,mspe,0.048287283629179,0.7,12800
base,fx,bias2,0.04680609703063965,0.7,12800
base,fx,var,0.0014811888104304671,0.7,12800
base,fr,mspe,0.11638209968805313,0.7,12800
base,fr,bias2,0.11490092426538467,0.7,12800
base,fr,var,0.0014811888104304671,0.7,12800
base,fz,mspe,0.07795459032058716,0.7,12800
base,fz,bias2,0.07795459032058716,0.7,12800
base,fz,var,0.0,0.7,12800
posthoc_web,y,mspe,1.0835858583450317,0.7,12800
posthoc_web,y,bias2,1.0676486492156982,0.7,12800
posthoc_web,y,var,0.015937233343720436,0.7,12800
posthoc_web,fx,mspe,0.04764740169048309,0.7,12800
posthoc_web,fx,bias2,0.03225948289036751,0.7,12800
posthoc_web,fx,var,0.015387916937470436,0.7,12800
posthoc_web,fr,mspe,0.1018146425485611,0.7,12800
posthoc_web,fr,bias2,0.08642671257257462,0.7,12800
posthoc_web,fr,var,0.015387916937470436,0.7,12800
posthoc_web,fz,mspe,0.07795459032058716,0.7,12800
posthoc_web,fz,bias2,0.07795459032058716,0.7,12800
posthoc_web,fz,var,0.0,0.7,12800
refit,y,mspe,1.049728274345398,0.8,12800
refit,y,bias2,1.047845721244812,0.8,12800
refit,y,var,0.0018825551960617304,0.8,12800
refit,fx,mspe,0.04613827168941498,0.8,12800
refit,fx,bias2,0.045168761163949966,0.8,12800
refit,fx,var,0.0009695130866020918,0.8,12800
refit,fr,mspe,0.11337154358625412,0.8,12800
refit,fr,bias2,0.1124020367860794,0.8,12800
refit,fr,var,0.0009695130866020918,0.8,12800
refit,fz,mspe,0.07527076452970505,0.8,12800
refit,fz,bias2,0.07445993274450302,0.8,12800
refit,fz,var,0.000810842786449939,0.8,12800
refit_orth,y,mspe,1.0497195720672607,0.8,12800
refit_orth,y,bias2,1.0478357076644897,0.8,12800
refit_orth,y,var,0.0018838813994079828,0.8,12800
refit_orth,fx,mspe,0.04596792161464691,0.8,12800
refit_orth,fx,bias2,0.03929118067026138,0.8,12800
refit_orth,fx,var,0.00667674420401454,0.8,12800
refit_orth,fr,mspe,0.10797769576311111,0.8,12800
refit_orth,fr,bias2,0.10130094736814499,0.8,12800
refit_orth,fr,var,0.00667674420401454,0.8,12800
refit_orth,fz,mspe,0.07514400780200958,0.8,12800
refit_orth,fz,bias2,0.0647837370634079,0.8,12800
refit_orth,fz,var,0.01036026794463396,0.8,12800
base,y,mspe,1.052075982093811,0.8,12800
base,y,bias2,1.050003170967102,0.8,12800
base,y,var,0.002072870032861829,0.8,12800
base,fx,mspe,0.048287283629179,0.8,12800
base,fx,bias2,0.04680609703063965,0.8,12800
base,fx,var,0.0014811888104304671,0.8,12800
base,fr,mspe,0.11638209968805313,0.8,12800
base,fr,bias2,0.11490092426538467,0.8,12800
base,fr,var,0.0014811888104304671,0.8,12800
base,fz,mspe,0.07795459032058716,0.8,12800
base,fz,bias2,0.07795459032058716,0.8,12800
base,fz,var,0.0,0.8,12800
posthoc_web,y,mspe,1.0646145343780518,0.8,12800
posthoc_web,y,bias2,1.0566964149475098,0.8,12800
posthoc_web,y,var,0.007918082177639008,0.8,12800
posthoc_web,fx,mspe,0.048063892871141434,0.8,12800
posthoc_web,fx,bias2,0.04070941358804703,0.8,12800
posthoc_web,fx,var,0.00735447509214282,0.8,12800
posthoc_web,fr,mspe,0.11085399985313416,0.8,12800
posthoc_web,fr,bias2,0.10349951684474945,0.8,12800
posthoc_web,fr,var,0.00735447509214282,0.8,12800
posthoc_web,fz,mspe,0.07795459032058716,0.8,12800
posthoc_web,fz,bias2,0.07795459032058716,0.8,12800
posthoc_web,fz,var,0.0,0.8,12800
refit,y,mspe,1.0508173704147339,0.9,12800
refit,y,bias2,1.0494365692138672,0.9,12800
refit,y,var,0.0013807876966893673,0.9,12800
refit,fx,mspe,0.047698184847831726,0.9,12800
refit,fx,bias2,0.04673297703266144,0.9,12800
refit,fx,var,0.0009652097360230982,0.9,12800
refit,fr,mspe,0.115757055580616,0.9,12800
refit,fr,bias2,0.11479184776544571,0.9,12800
refit,fr,var,0.0009652097360230982,0.9,12800
refit,fz,mspe,0.0774988979101181,0.9,12800
refit,fz,bias2,0.0771980807185173,0.9,12800
refit,fz,var,0.00030081463046371937,0.9,12800
refit_orth,y,mspe,1.0508208274841309,0.9,12800
refit_orth,y,bias2,1.0494418144226074,0.9,12800
refit_orth,y,var,0.0013790837256237864,0.9,12800
refit_orth,fx,mspe,0.04765510559082031,0.9,12800
refit_orth,fx,bias2,0.0454268641769886,0.9,12800
refit_orth,fx,var,0.002228241879492998,0.9,12800
refit_orth,fr,mspe,0.11460498720407486,0.9,12800
refit_orth,fr,bias2,0.11237674951553345,0.9,12800
refit_orth,fr,var,0.002228241879492998,0.9,12800
refit_orth,fz,mspe,0.07745882868766785,0.9,12800
refit_orth,fz,bias2,0.0750482976436615,0.9,12800
refit_orth,fz,var,0.0024105366319417953,0.9,12800
base,y,mspe,1.052075982093811,0.9,12800
base,y,bias2,1.050003170967102,0.9,12800
base,y,var,0.002072870032861829,0.9,12800
base,fx,mspe,0.048287283629179,0.9,12800
base,fx,bias2,0.04680609703063965,0.9,12800
base,fx,var,0.0014811888104304671,0.9,12800
base,fr,mspe,0.11638209968805313,0.9,12800
base,fr,bias2,0.11490092426538467,0.9,12800
base,fr,var,0.0014811888104304671,0.9,12800
base,fz,mspe,0.07795459032058716,0.9,12800
base,fz,bias2,0.07795459032058716,0.9,12800
base,fz,var,0.0,0.9,12800
posthoc_web,y,mspe,1.0550702810287476,0.9,12800
posthoc_web,y,bias2,1.0517258644104004,0.9,12800
posthoc_web,y,var,0.0033443847205489874,0.9,12800
posthoc_web,fx,mspe,0.04824398085474968,0.9,12800
posthoc_web,fx,bias2,0.04547759145498276,0.9,12800
posthoc_web,fx,var,0.0027663945220410824,0.9,12800
posthoc_web,fr,mspe,0.11522206664085388,0.9,12800
posthoc_web,fr,bias2,0.11245567351579666,0.9,12800
posthoc_web,fr,var,0.0027663945220410824,0.9,12800
posthoc_web,fz,mspe,0.07795459032058716,0.9,12800
posthoc_web,fz,bias2,0.07795459032058716,0.9,12800
posthoc_web,fz,var,0.0,0.9,12800
refit,y,mspe,1.0512611865997314,1.0,12800
refit,y,bias2,1.0500264167785645,1.0,12800
refit,y,var,0.0012346672592684627,1.0,12800
refit,fx,mspe,0.048175010830163956,1.0,12800
refit,fx,bias2,0.04721389710903168,1.0,12800
refit,fx,var,0.0009611098212189972,1.0,12800
refit,fr,mspe,0.1164831891655922,1.0,12800
refit,fr,bias2,0.11552207916975021,1.0,12800
refit,fr,var,0.0009611098212189972,1.0,12800
refit,fz,mspe,0.0781121477484703,1.0,12800
refit,fz,bias2,0.07795946300029755,1.0,12800
refit,fz,var,0.00015268354036379606,1.0,12800
refit_orth,y,mspe,1.0512455701828003,1.0,12800
refit_orth,y,bias2,1.050007700920105,1.0,12800
refit_orth,y,var,0.0012379356194287539,1.0,12800
refit_orth,fx,mspe,0.048205211758613586,1.0,12800
refit_orth,fx,bias2,0.047206975519657135,1.0,12800
refit_orth,fx,var,0.0009982390329241753,1.0,12800
refit_orth,fr,mspe,0.11649996787309647,1.0,12800
refit_orth,fr,bias2,0.11550173908472061,1.0,12800
refit_orth,fr,var,0.0009982390329241753,1.0,12800
refit_orth,fz,mspe,0.07811395823955536,1.0,12800
refit_orth,fz,bias2,0.07793276011943817,1.0,12800
refit_orth,fz,var,0.00018120357708539814,1.0,12800
