,confounding,q,Run,Model,Metric,MSE,Bias,Var
312,False,64,2,NN,yhat,2.0188534,0.011846058,2.0189147
313,False,64,2,NN,fxhat,0.019181198,-0.08795197,0.011446795
314,False,64,2,NN,fzhat,1.0325058,0.09697006,1.0232049
315,False,64,2,Covar NN,yhat,1.0122595,0.005378084,1.0123318
316,False,64,2,Covar NN,fxhat,0.0073187393,-0.035710707,0.00604409
317,False,64,2,Covar NN,fzhat,0.002053761,0.038260814,0.00058993
318,False,64,3,NN,yhat,2.02376,0.010347716,2.0238552
319,False,64,3,NN,fxhat,0.016844215,-0.00055128965,0.016845595
320,False,64,3,NN,fzhat,0.99336857,0.009052893,0.9933859
321,False,64,3,Covar NN,yhat,0.9932915,0.013516378,0.99320817
322,False,64,3,Covar NN,fxhat,0.008737098,0.040800896,0.007073093
323,False,64,3,Covar NN,fzhat,0.001752676,-0.02913063,0.00090417283
324,False,64,4,NN,yhat,2.0503218,0.05399897,2.0476108
325,False,64,4,NN,fxhat,0.009800005,0.016515499,0.0095281955
326,False,64,4,NN,fzhat,1.0142511,0.036732286,1.0130031
327,False,64,4,Covar NN,yhat,1.0062647,0.008760349,1.0062886
328,False,64,4,Covar NN,fxhat,0.012856975,0.08317288,0.005939841
329,False,64,4,Covar NN,fzhat,0.0069062393,-0.07516372,0.0012567805
330,False,64,5,NN,yhat,1.9952012,-0.0012660588,1.995399
331,False,64,5,NN,fxhat,0.012531782,-0.026744805,0.011817678
332,False,64,5,NN,fzhat,0.9902186,0.03253507,0.989259
333,False,64,5,Covar NN,yhat,0.9932869,-0.0038823502,0.9933712
334,False,64,5,Covar NN,fxhat,0.013934499,-0.08536515,0.006647953
335,False,64,5,Covar NN,fzhat,0.008121999,0.08853914,0.00028284948
336,False,64,6,NN,yhat,1.9918588,0.002491059,1.9920516
337,False,64,6,NN,fxhat,0.0080329925,-0.013729194,0.007845286
338,False,64,6,NN,fzhat,0.9939317,0.0044832095,0.994011
339,False,64,6,Covar NN,yhat,1.0121658,0.0014002048,1.0122651
340,False,64,6,Covar NN,fxhat,0.006063033,0.0034494766,0.006051739
341,False,64,6,Covar NN,fzhat,0.0015814187,-0.013786314,0.0013914955
342,False,64,7,NN,yhat,2.0882099,0.035553426,2.0871544
343,False,64,7,NN,fxhat,0.03461303,0.15402775,0.010889568
344,False,64,7,NN,fzhat,1.047843,-0.11669407,1.0343289
345,False,64,7,Covar NN,yhat,1.025655,0.013983641,1.025562
346,False,64,7,Covar NN,fxhat,0.0153892245,0.0946603,0.006429298
347,False,64,7,Covar NN,fzhat,0.006938301,-0.078896396,0.0007137312
348,False,64,8,NN,yhat,2.045681,-0.045078374,2.0438533
349,False,64,8,NN,fxhat,0.016924717,-0.021989569,0.016442819
350,False,64,8,NN,fzhat,1.018607,-0.0276063,1.0179466
351,False,64,8,Covar NN,yhat,1.0198172,-0.01765556,1.0196077
352,False,64,8,Covar NN,fxhat,0.009116344,0.012759185,0.008954443
353,False,64,8,Covar NN,fzhat,0.0023603798,-0.034932237,0.0011402328
354,False,64,9,NN,yhat,1.9818645,0.008364488,1.9819927
355,False,64,9,NN,fxhat,0.014451921,0.05851631,0.011028865
356,False,64,9,NN,fzhat,1.004904,-0.035647426,1.0037336
357,False,64,9,Covar NN,yhat,1.0212309,-0.0043798126,1.0213139
358,False,64,9,Covar NN,fxhat,0.0069148117,-0.002384401,0.006909817
359,False,64,9,Covar NN,fzhat,0.0008704486,0.012508984,0.00071404525
360,False,64,10,NN,yhat,1.998094,-0.0058552986,1.9982594
361,False,64,10,NN,fxhat,0.017383564,-0.060022216,0.013782277
362,False,64,10,NN,fzhat,0.9928922,0.037795573,0.9915629
363,False,64,10,Covar NN,yhat,1.0153084,0.025118064,1.014779
364,False,64,10,Covar NN,fxhat,0.0066797654,-0.013104905,0.0065086777
365,False,64,10,Covar NN,fzhat,0.00080571603,0.021851623,0.00032825535
366,False,64,11,NN,yhat,1.9827019,0.017541876,1.9825926
367,False,64,11,NN,fxhat,0.016116407,0.032934535,0.015033226
368,False,64,11,NN,fzhat,1.0118935,-0.011984603,1.011851
369,False,64,11,Covar NN,yhat,0.99613553,-0.02173557,0.99576265
370,False,64,11,Covar NN,fxhat,0.008967147,-0.012095571,0.008821727
371,False,64,11,Covar NN,fzhat,0.0017692455,-0.006231939,0.0017305816
372,False,64,12,NN,yhat,1.9821943,-0.01537823,1.982156
373,False,64,12,NN,fxhat,0.011152367,0.020204214,0.010745231
374,False,64,12,NN,fzhat,0.9857543,-0.04226411,0.9840664
375,False,64,12,Covar NN,yhat,0.99989474,0.018046983,0.99966896
376,False,64,12,Covar NN,fxhat,0.006419373,-0.02244202,0.005916321
377,False,64,12,Covar NN,fzhat,0.0015599664,0.03380734,0.00041707192
378,False,64,13,NN,yhat,2.0006034,-0.029809821,1.9999149
379,False,64,13,NN,fxhat,0.011473354,-0.013949848,0.011279884
380,False,64,13,NN,fzhat,1.0099707,-0.0008798479,1.0100709
