method,N,seed,mspe_y,mspe_fx,mspe_fz,corr_fx_z,b_z_hat,val_loss
dml,6400,7,0.9700263738632202,0.001956289866939187,0.00010950591968139634,0.19844408210193829,1.0360474586486816,1.0177263295650483
dml,6400,6,0.972457766532898,0.008818797767162323,0.007757116109132767,0.041841329464084545,1.3094136714935303,0.9717391920089722
dml,6400,2,0.9741043448448181,0.0016276208916679025,2.2894560970598832e-05,0.29748646831488207,0.983401894569397,1.003467289209366
dml,6400,5,0.9704006910324097,0.004297793377190828,0.0005751559510827065,0.33253898252972286,0.9176376461982727,0.9891163432598113
dml,6400,8,0.9676549434661865,0.0008178928401321173,0.0003425278118811548,0.2680342135425881,0.9360418319702148,1.0278234195709228
dml,6400,9,0.9715680480003357,0.002636922989040613,0.0008588279015384614,0.20996432046353639,1.1029573678970337,1.0278763830661775
dml,12800,0,0.9724178910255432,0.0008297029999084771,4.3367922444303986e-06,0.27320385972456523,1.0056592226028442,0.9977995657920837
dml,12800,6,0.9765053391456604,0.0025906157679855824,0.0003228860441595316,0.32732191918808795,0.9387319087982178,0.9995009106397629
dml,12800,2,0.9715389609336853,0.0015525339404121041,0.00023147845058701932,0.32320606704738103,0.9465596675872803,0.9881752985715866
dml,12800,3,0.9654859304428101,0.0036947077605873346,0.0020747275557368994,0.12407754141751828,1.160079836845398,1.0162035912275313
dml,12800,9,0.9701218008995056,0.0016500053461641073,0.0003372789069544524,0.19342299235719976,1.064103364944458,1.022662165760994
dml,12800,5,0.9712365865707397,0.010788707062602043,0.006420972291380167,0.010193075281061914,1.281572699546814,1.0055670994520187
dml,12800,4,0.9696947336196899,0.002620939165353775,0.0007590737077407539,0.17390763460575717,1.0966472625732422,0.9969769883155822
dml,12800,7,0.9730113744735718,0.0014167451299726963,0.00013190619938541204,0.2890653233452172,0.9598990082740784,0.9976586204767227
dml,12800,8,0.9735292196273804,0.003133496968075633,3.5391181882005185e-05,0.3003732721441682,1.0175429582595825,0.9825166010856629
dml,12800,1,0.9659478664398193,0.00577189726755023,0.005168153904378414,0.4049499963405503,0.7473950386047363,0.9943910169601441
dml,25600,2,0.9703654646873474,0.0005909541505388916,1.7821837445808342e-06,0.2650650354074672,0.9954938888549805,1.0133763748407363
dml,25600,0,0.9717389941215515,0.0010787697974592447,0.00015967566287145019,0.3199564992888599,0.9556788802146912,1.0268955147266388
dml,25600,7,0.9696574807167053,0.00110652856528759,0.00021516271226573735,0.2988988227244528,0.9487906694412231,1.0089723080396653
dml,25600,1,0.968942403793335,0.0010363609762862325,1.4228536429072847e-06,0.30177736109261666,1.000910758972168,0.9965109598636627
dml,25600,3,0.9663481712341309,0.00074720848351717,2.664240241756488e-07,0.25947709107656136,0.9982258081436157,1.0051957759261132
dml,25600,4,0.9670099020004272,0.0015083466423675418,0.0012231225846335292,0.18983189289993585,1.1229161024093628,0.9973206940293312
dml,25600,9,0.968377947807312,0.0015367171727120876,6.999220204306766e-06,0.22201214996400664,1.0010595321655273,0.9883100107312203
dml,25600,5,0.9691051244735718,0.004003384616225958,0.0018809769535437226,0.40382052730951357,0.8478131294250488,1.0071356895565986
dml,25600,8,0.9691794514656067,0.0009493789402768016,9.12777686608024e-05,0.3037941692972826,0.9668328762054443,0.994334143102169
dml,25600,6,0.9694896340370178,0.0017666354542598128,0.00044077151687815785,0.20740205221458152,1.0737866163253784,0.9935402354598045
dml,51200,1,0.9732398390769958,0.002051555784419179,0.00040417705895379186,0.3653665728204592,0.929358959197998,0.997745893150568
dml,51200,2,0.9694295525550842,0.0012089083902537823,0.0001444758818252012,0.3209708221669611,0.9577568769454956,0.9957860620319843
dml,51200,5,0.9688671827316284,0.0016643550479784608,0.00141720415558666,0.3415364241724856,0.8679119944572449,1.003706413656473
dml,51200,3,0.9702318906784058,0.00104994373396039,2.0453919205465354e-05,0.2981146009257739,0.9846579432487488,0.9977896802127362
dml,51200,9,0.970591127872467,0.00038826357922516763,0.00047208453179337084,0.2592237024236864,1.0763691663742065,0.9933066141605377
dml,51200,7,0.9700716733932495,0.0002577656996436417,0.0001337992725893855,0.2616664286668256,1.039952039718628,0.9959575782716275
dml,51200,4,0.9706899523735046,0.002549125347286463,0.0015999400056898594,0.3791066274278569,0.8594709038734436,0.9959983809292317
dml,51200,8,0.9695863127708435,0.0014501495752483606,0.00045367373968474567,0.3339414408884264,0.9251344203948975,1.0008815625309944
dml,51200,6,0.9687301516532898,0.0007748142816126347,0.00017724264762364328,0.23065501019923562,1.0466634035110474,1.0064614325761796
dml,51200,0,0.9683042168617249,0.0007225334993563592,0.0005268792156130075,0.30778060703560217,0.9193228483200073,0.9955836470425129
oracle_ovb,100,4,0.9922756552696228,0.05845281854271889,0.08104897290468216,0.6386766457536613,nan,nan
oracle_ovb,100,9,0.9946171045303345,0.0983126312494278,0.08104897290468216,0.7596303924836418,nan,nan
oracle_ovb,100,6,1.0017951726913452,0.0989849716424942,0.08104897290468216,0.834649769699002,nan,nan
oracle_ovb,100,1,1.0032538175582886,0.03231123089790344,0.08104897290468216,0.6376515845002645,nan,nan
oracle_ovb,100,7,1.0499351024627686,0.054950322955846786,0.08104897290468216,0.6984916266651979,nan,nan
oracle_ovb,100,8,0.9988389611244202,0.12685532867908478,0.08104897290468216,0.6347497495776563,nan,nan
oracle_ovb,100,2,1.0558388233184814,0.1245209276676178,0.08104897290468216,0.44764058805564033,nan,nan
oracle_ovb,100,3,0.9934797883033752,0.09748581796884537,0.08104897290468216,0.7113044624556027,nan,nan
oracle_ovb,100,0,0.9979211091995239,0.046343766152858734,0.08104897290468216,0.6164819853604446,nan,nan
oracle_ovb,100,5,1.0454050302505493,0.21682687103748322,0.08104897290468216,0.8148424146577843,nan,nan
oracle_ovb,200,0,1.0028331279754639,0.0792638510465622,0.08104897290468216,0.6999600405802945,nan,nan
oracle_ovb,200,2,0.9881386160850525,0.12436605989933014,0.08104897290468216,0.7614341291864796,nan,nan
oracle_ovb,200,5,0.9819021821022034,0.07342520356178284,0.08104897290468216,0.7351348507935294,nan,nan
oracle_ovb,200,3,1.0790306329727173,0.32261863350868225,0.08104897290468216,0.7177501960012569,nan,nan
