model,effect,metric,value,bz,n
posthoc_web,fz,bias2,0.954943835735321,3.5,12800
posthoc_web,fz,var,0.0,3.5,12800
base,y,mspe,0.21291133761405945,4,12800
base,y,bias2,0.21259137988090515,4,12800
base,y,var,0.00031997490441426635,4,12800
base,fx,mspe,0.72735196352005,4,12800
base,fx,bias2,0.7203320860862732,4,12800
base,fx,var,0.0070198881439864635,4,12800
base,fr,mspe,0.9377391338348389,4,12800
base,fr,bias2,0.9307191967964172,4,12800
base,fr,var,0.0070198881439864635,4,12800
base,fz,mspe,1.2472734451293945,4,12800
base,fz,bias2,1.2472734451293945,4,12800
base,fz,var,0.0,4,12800
posthoc,y,mspe,0.19467580318450928,4,12800
posthoc,y,bias2,0.19433248043060303,4,12800
posthoc,y,var,0.00034333139774389565,4,12800
posthoc,fx,mspe,0.010010788217186928,4,12800
posthoc,fx,bias2,0.0012373042991384864,4,12800
posthoc,fx,var,0.008773485198616982,4,12800
posthoc,fr,mspe,0.030386973172426224,4,12800
posthoc,fr,bias2,0.021613487973809242,4,12800
posthoc,fr,var,0.008773485198616982,4,12800
posthoc,fz,mspe,0.005836365278810263,4,12800
posthoc,fz,bias2,7.469122010661522e-06,4,12800
posthoc,fz,var,0.005828895606100559,4,12800
posthoc_orth,y,mspe,0.1946747601032257,4,12800
posthoc_orth,y,bias2,0.1943320780992508,4,12800
posthoc_orth,y,var,0.0003426995244808495,4,12800
posthoc_orth,fx,mspe,0.026499014347791672,4,12800
posthoc_orth,fx,bias2,0.02046414464712143,4,12800
posthoc_orth,fx,var,0.00603486830368638,4,12800
posthoc_orth,fr,mspe,0.007262257859110832,4,12800
posthoc_orth,fr,bias2,0.0012273896718397737,4,12800
posthoc_orth,fr,var,0.00603486830368638,4,12800
posthoc_orth,fz,mspe,0.023713979870080948,4,12800
posthoc_orth,fz,bias2,0.020899523049592972,4,12800
posthoc_orth,fz,var,0.002814455423504114,4,12800
posthoc_web,y,mspe,0.3493237793445587,4,12800
posthoc_web,y,bias2,0.34881410002708435,4,12800
posthoc_web,y,var,0.0005096917157061398,4,12800
posthoc_web,fx,mspe,0.2857528030872345,4,12800
posthoc_web,fx,bias2,0.2798024117946625,4,12800
posthoc_web,fx,var,0.005950378719717264,4,12800
posthoc_web,fr,mspe,0.2593380808830261,4,12800
posthoc_web,fr,bias2,0.2533877193927765,4,12800
posthoc_web,fr,var,0.005950378719717264,4,12800
posthoc_web,fz,mspe,1.2472734451293945,4,12800
posthoc_web,fz,bias2,1.2472734451293945,4,12800
posthoc_web,fz,var,0.0,4,12800
base,y,mspe,0.24835191667079926,0,1600
base,y,bias2,0.24695362150669098,0,1600
base,y,var,0.0013982841046527028,0,1600
base,fx,mspe,0.02527425065636635,0,1600
base,fx,bias2,0.006104327272623777,0,1600
base,fx,var,0.019169922918081284,0,1600
base,fr,mspe,0.03422153368592262,0,1600
base,fr,bias2,0.015051610767841339,0,1600
base,fr,var,0.019169922918081284,0,1600
base,fz,mspe,0.0,0,1600
base,fz,bias2,0.0,0,1600
base,fz,var,0.0,0,1600
posthoc,y,mspe,0.24947696924209595,0,1600
posthoc,y,bias2,0.24695411324501038,0,1600
posthoc,y,var,0.0025228378362953663,0,1600
posthoc,fx,mspe,0.037719208747148514,0,1600
posthoc,fx,bias2,0.004900108091533184,0,1600
posthoc,fx,var,0.032819103449583054,0,1600
posthoc,fr,mspe,0.04842628166079521,0,1600
posthoc,fr,bias2,0.015607178211212158,0,1600
posthoc,fr,var,0.032819103449583054,0,1600
posthoc,fz,mspe,0.014857610687613487,0,1600
posthoc,fz,bias2,0.0005645875353366137,0,1600
posthoc,fz,var,0.014293022453784943,0,1600
posthoc_orth,y,mspe,0.24947774410247803,0,1600
posthoc_orth,y,bias2,0.24695388972759247,0,1600
posthoc_orth,y,var,0.0025238574016839266,0,1600
posthoc_orth,fx,mspe,0.05008961260318756,0,1600
posthoc_orth,fx,bias2,0.02262428216636181,0,1600
