n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,1.0,0.3,1,32,posthoc,y,var,0.004292504,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc,fx,mspe,0.0034343873,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc,fx,bias2,0.00012380733,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc,fx,var,0.00331058,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc,fz,mspe,0.001060403,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc,fz,bias2,1.4329504e-05,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc,fz,var,0.0010460735,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc,fr,mspe,0.023356905,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc,fr,bias2,0.020046325,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc,fr,var,0.00331058,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_lam0,y,mspe,1.0188992,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_lam0,y,bias2,1.0047989,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_lam0,y,var,0.014100354,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_lam0,fx,mspe,0.013225794,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_lam0,fx,bias2,0.00019878388,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_lam0,fx,var,0.013027008,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_lam0,fz,mspe,0.0012284222,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_lam0,fz,bias2,8.245152e-06,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_lam0,fz,var,0.001220177,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_lam0,fr,mspe,0.032539733,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_lam0,fr,bias2,0.019512724,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_lam0,fr,var,0.013027008,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_orth,y,mspe,1.008054,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_orth,y,bias2,1.0037639,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_orth,y,var,0.0042900415,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_orth,fx,mspe,0.010574068,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_orth,fx,bias2,0.007531166,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_orth,fx,var,0.0030429005,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_orth,fz,mspe,0.007971602,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_orth,fz,bias2,0.0070383507,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_orth,fz,var,0.0009332508,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_orth,fr,mspe,0.0060308706,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc_orth,fr,bias2,0.0029879701,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
