n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,1.0,0.8,1,128,posthoc_orth,fx,mspe,0.023405124,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth,fx,bias2,0.01980068,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth,fx,var,0.0036044456,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth,fz,mspe,0.019947125,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth,fz,bias2,0.018993247,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth,fz,var,0.00095387764,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth,fr,mspe,0.003929845,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth,fr,bias2,0.0003253996,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth,fr,var,0.0036044456,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth_lam0,y,mspe,1.0222965,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth_lam0,y,bias2,1.0037792,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth_lam0,y,var,0.018517362,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth_lam0,fx,mspe,0.037296724,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth_lam0,fx,bias2,0.020023203,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth_lam0,fx,var,0.01727352,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth_lam0,fz,mspe,0.020452637,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth_lam0,fz,bias2,0.019503867,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth_lam0,fz,var,0.00094876863,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth_lam0,fr,mspe,0.017497716,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth_lam0,fr,bias2,0.00022419456,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
3200,1.0,0.8,1,128,posthoc_orth_lam0,fr,var,0.01727352,n=3200_bz=1.0_cv1=0.8_p=1_q=128_20251022-210916
