setting,sim_id,method,mspe_fx,mspe_fr,mspe_y,mean_fx_hat,var_fx_hat,n_total,outcome_type,q,bz,cv1
fig1b_gauss_bz1,9,posthoc_same_sample,0.02077331580221653,0.07690762728452682,1.0118941068649292,-0.004058797378093004,0.18726128339767456,1600,continuous,32,1.0,0.8
fig3_binary,0,base_full,0.1813075691461563,0.315714955329895,0.24055689573287964,0.01689210720360279,0.4269287586212158,1600,binary,32,1.0,0.8
fig3_binary,0,base_half,0.09886877983808517,0.20122379064559937,0.23960720002651215,0.040327973663806915,0.2719036340713501,1600,binary,32,1.0,0.8
fig3_binary,0,posthoc,0.051871880888938904,0.1208924874663353,0.2399904578924179,0.025755152106285095,0.1455794870853424,1600,binary,32,1.0,0.8
fig3_binary,0,posthoc_same_sample,0.15579283237457275,0.28186964988708496,0.23956502974033356,0.01584501564502716,0.3814491927623749,1600,binary,32,1.0,0.8
fig3_binary,1,base_full,0.0633859857916832,0.13909079134464264,0.24173949658870697,0.009234742261469364,0.30827122926712036,1600,binary,32,1.0,0.8
fig3_binary,1,base_half,0.047656089067459106,0.12331193685531616,0.24014262855052948,-0.010906162671744823,0.24743400514125824,1600,binary,32,1.0,0.8
fig3_binary,1,posthoc,0.04892382770776749,0.1159277856349945,0.239810511469841,0.01680157706141472,0.24111956357955933,1600,binary,32,1.0,0.8
fig3_binary,1,posthoc_same_sample,0.058647602796554565,0.12805047631263733,0.24294798076152802,0.012534533627331257,0.2914813756942749,1600,binary,32,1.0,0.8
fig3_binary,2,base_full,0.05228056758642197,0.1303393542766571,0.24002720415592194,0.03022180311381817,0.22229863703250885,1600,binary,32,1.0,0.8
fig3_binary,2,base_half,0.08099136501550674,0.17215320467948914,0.23814274370670319,0.03407473489642143,0.21019725501537323,1600,binary,32,1.0,0.8
fig3_binary,2,posthoc,0.026310071349143982,0.08110469579696655,0.2410752922296524,0.03731689974665642,0.12930583953857422,1600,binary,32,1.0,0.8
fig3_binary,2,posthoc_same_sample,0.012762941420078278,0.039108701050281525,0.23855769634246826,0.019373103976249695,0.09509597718715668,1600,binary,32,1.0,0.8
fig3_binary,3,base_full,0.04714828357100487,0.1212569922208786,0.24031572043895721,0.02376559190452099,0.20942158997058868,1600,binary,32,1.0,0.8
