n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,0.0,0.8,1,32,posthoc_orth_lam0,y,mspe,1.0199565,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth_lam0,y,bias2,1.0044864,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth_lam0,y,var,0.015469943,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth_lam0,fx,mspe,0.034257844,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth_lam0,fx,bias2,0.019988123,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth_lam0,fx,var,0.014269717,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth_lam0,fz,mspe,0.020344706,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth_lam0,fz,bias2,0.019504795,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth_lam0,fz,var,0.0008399113,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth_lam0,fr,mspe,0.014473538,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth_lam0,fr,bias2,0.0002038188,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth_lam0,fr,var,0.014269717,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_web,y,mspe,1.0327113,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_web,y,bias2,1.0304303,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_web,y,var,0.0022809068,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_web,fx,mspe,0.021498516,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_web,fx,bias2,0.019797677,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_web,fx,var,0.0017008384,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_web,fz,mspe,0.0,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_web,fz,bias2,0.0,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_web,fz,var,0.0,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_web,fr,mspe,0.0022756732,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_web,fr,bias2,0.0005748347,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_web,fr,var,0.0017008384,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,1.5,0.8,1,32,base,y,mspe,1.0298723,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,base,y,bias2,1.0271268,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,base,y,var,0.0027453792,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,base,fx,mspe,0.16626462,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,base,fx,bias2,0.16388567,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,base,fx,var,0.002378971,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,base,fz,mspe,0.17539783,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,base,fz,bias2,0.17539783,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,base,fz,var,0.0,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,base,fr,mspe,0.29536313,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,base,fr,bias2,0.2929842,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,base,fr,var,0.002378971,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc,y,mspe,1.0086275,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc,y,bias2,1.0045282,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc,y,var,0.0040993905,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc,fx,mspe,0.012891713,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc,fx,bias2,0.0007207599,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc,fx,var,0.012170954,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc,fz,mspe,0.011082904,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc,fz,bias2,0.0005664937,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc,fz,var,0.010516411,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc,fr,mspe,0.039007965,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc,fr,bias2,0.026837006,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc,fr,var,0.012170954,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_lam0,y,mspe,1.0194249,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_lam0,y,bias2,1.0036339,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_lam0,y,var,0.015791137,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_lam0,fx,mspe,0.024134455,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_lam0,fx,bias2,0.00019851139,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_lam0,fx,var,0.023935944,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_lam0,fz,mspe,0.010450167,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_lam0,fz,bias2,4.0954266e-05,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_lam0,fz,var,0.010409214,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_lam0,fr,mspe,0.045237437,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_lam0,fr,bias2,0.021301491,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_lam0,fr,var,0.023935944,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth,y,mspe,1.0086802,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth,y,bias2,1.0045782,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth,y,var,0.004101902,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth,fx,mspe,0.022444215,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth,fx,bias2,0.019616341,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth,fx,var,0.0028278728,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth,fz,mspe,0.020476742,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth,fz,bias2,0.019432927,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth,fz,var,0.0010438155,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth,fr,mspe,0.002991106,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth,fr,bias2,0.00016323291,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth,fr,var,0.0028278728,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth_lam0,y,mspe,1.0196853,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth_lam0,y,bias2,1.0039775,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth_lam0,y,var,0.01570766,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth_lam0,fx,mspe,0.03429511,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
3200,1.5,0.8,1,32,posthoc_orth_lam0,fx,bias2,0.019818295,n=3200_bz=1.5_cv1=0.8_p=1_q=32_20251022-185904
