model,effect,metric,value,n,p
base,fz,var,0.0,25600,4
posthoc,y,mspe,1.075490117073059,25600,4
posthoc,y,bias2,1.073378324508667,25600,4
posthoc,y,var,0.0021117946598678827,25600,4
posthoc,fx,mspe,0.008955955505371094,25600,4
posthoc,fx,bias2,0.004507456440478563,25600,4
posthoc,fx,var,0.004448499530553818,25600,4
posthoc,fr,mspe,0.041202642023563385,25600,4
posthoc,fr,bias2,0.03675414249300957,25600,4
posthoc,fr,var,0.004448499530553818,25600,4
posthoc,fz,mspe,0.007705417461693287,25600,4
posthoc,fz,bias2,0.0038567313458770514,25600,4
posthoc,fz,var,0.0038486856501549482,25600,4
posthoc_orth,y,mspe,1.0754897594451904,25600,4
posthoc_orth,y,bias2,1.073378324508667,25600,4
posthoc_orth,y,var,0.002111441222950816,25600,4
posthoc_orth,fx,mspe,0.022530222311615944,25600,4
posthoc_orth,fx,bias2,0.02106091007590294,25600,4
posthoc_orth,fx,var,0.001469313632696867,25600,4
posthoc_orth,fr,mspe,0.48992598056793213,25600,4
posthoc_orth,fr,bias2,0.4608094096183777,25600,4
posthoc_orth,fr,var,0.02911655604839325,25600,4
posthoc_orth,fz,mspe,0.02078757807612419,25600,4
posthoc_orth,fz,bias2,0.020127873867750168,25600,4
posthoc_orth,fz,var,0.0006597037427127361,25600,4
base,y,mspe,1.0324102640151978,25600,8
base,y,bias2,1.0306788682937622,25600,8
base,y,var,0.0017314320430159569,25600,8
base,fx,mspe,0.07471870630979538,25600,8
base,fx,bias2,0.07320050895214081,25600,8
base,fx,var,0.001518193748779595,25600,8
base,fr,mspe,0.1693873554468155,25600,8
base,fr,bias2,0.16786916553974152,25600,8
base,fr,var,0.001518193748779595,25600,8
base,fz,mspe,0.08219289779663086,25600,8
base,fz,bias2,0.08219289034605026,25600,8
base,fz,var,0.0,25600,8
posthoc,y,mspe,1.0282070636749268,25600,8
posthoc,y,bias2,1.0255802869796753,25600,8
posthoc,y,var,0.002626798115670681,25600,8
posthoc,fx,mspe,0.00980095099657774,25600,8
posthoc,fx,bias2,0.005140416789799929,25600,8
posthoc,fx,var,0.004660534206777811,25600,8
posthoc,fr,mspe,0.041990071535110474,25600,8
posthoc,fr,bias2,0.0373295359313488,25600,8
posthoc,fr,var,0.004660534206777811,25600,8
posthoc,fz,mspe,0.008459005504846573,25600,8
posthoc,fz,bias2,0.004128236789256334,25600,8
posthoc,fz,var,0.004330769181251526,25600,8
posthoc_orth,y,mspe,1.0282114744186401,25600,8
posthoc_orth,y,bias2,1.025583028793335,25600,8
posthoc_orth,y,var,0.002628494519740343,25600,8
posthoc_orth,fx,mspe,0.023149361833930016,25600,8
posthoc_orth,fx,bias2,0.02168610878288746,25600,8
posthoc_orth,fx,var,0.0014632552629336715,25600,8
posthoc_orth,fr,mspe,0.8980106115341187,25600,8
posthoc_orth,fr,bias2,0.8367953300476074,25600,8
posthoc_orth,fr,var,0.061215296387672424,25600,8
posthoc_orth,fz,mspe,0.02174084633588791,25600,8
posthoc_orth,fz,bias2,0.02044687792658806,25600,8
posthoc_orth,fz,var,0.0012939712032675743,25600,8
base,y,mspe,1.0207427740097046,3200,1
base,y,bias2,1.0174498558044434,3200,1
base,y,var,0.003292905632406473,3200,1
base,fx,mspe,0.07846032828092575,3200,1
base,fx,bias2,0.07578904926776886,3200,1
base,fx,var,0.002671274822205305,3200,1
base,fr,mspe,0.17227931320667267,3200,1
base,fr,bias2,0.16960804164409637,3200,1
base,fr,var,0.002671274822205305,3200,1
base,fz,mspe,0.07795459032058716,3200,1
base,fz,bias2,0.07795459032058716,3200,1
base,fz,var,0.0,3200,1
posthoc,y,mspe,1.0127782821655273,3200,1
posthoc,y,bias2,1.0063153505325317,3200,1
posthoc,y,var,0.006462983321398497,3200,1
posthoc,fx,mspe,0.022834567353129387,3200,1
posthoc,fx,bias2,0.010844753123819828,3200,1
